  radius  	  theta   
0.7078954	3.3250268
0.7898941	1.2494812
0.3440348	1.2603023
0.3184485	3.6627480
0.5057937	0.5974262
0.3282612	3.6662386
0.3137069	3.6725218
0.4893540	0.5824164
0.3277296	3.6643188
0.3323456	3.6802013
0.4905444	0.5848598
0.3319483	3.6632716
0.9537192	3.7336083
0.2912746	3.3224088
0.3080988	3.3129665
0.3106231	3.3262485
0.3105178	3.3262485
0.2960616	3.3414329
0.5755249	3.5294048
0.5818270	3.6517524
0.5740621	3.1045044
0.9519710	2.5829477
0.9501428	2.5740290
0.8974377	2.5889691
0.9422205	2.5508685
0.5275748	4.8555042
0.3872722	0.9937905
0.5328293	4.8435330
0.5247891	4.8604505
0.5212327	5.6857766
0.5994481	4.1093777
0.7296537	4.1018728
0.9429456	3.6034068
0.1410481	2.9850366
0.1380144	2.9920179
0.1397667	3.0020885
0.1393753	2.9987200
0.7687144	6.0587360
0.7677430	6.0653857
0.4553048	0.1692097
0.5133567	2.1860598
0.5962379	6.0415619
0.3362943	2.8815211
0.2791486	4.6443211
0.5776994	1.0382964
0.2516002	4.6764352
0.3280292	2.8474000
0.3722046	1.9071736
0.3777289	1.8935077
0.3759052	1.8970682
0.3743721	1.8952007
0.3759052	1.8970682
0.3746110	1.8988135
0.3795349	1.8811857
0.3743721	1.8952007
0.3737554	1.8956545
0.5152547	5.6355634
0.3753973	1.8916577
0.3834636	1.9061439
0.3776990	1.8909246
0.4181963	2.3650782
0.6078900	5.5662913
0.7790395	0.9501572
0.2941833	1.8308329
0.7784788	0.9503318
0.7735850	0.9482374
0.2928657	1.8270979
0.7934431	0.9758136
0.7578041	1.4679964
0.6683049	4.9980121
0.3568708	0.8799950
0.3710029	3.3428291
0.3712610	3.3571408
0.3712511	3.3513812
0.6324181	5.0259374
0.3715590	3.3492868
0.3708441	3.3562682
0.3699509	3.3557446
0.3713802	3.3503340
0.3662251	3.3459707
0.5071095	5.9903714
0.7764765	4.5727626
0.4188936	4.1907101
0.3616693	1.7566390
0.3599630	1.7745112
0.3583078	1.7728531
0.5008719	5.3042999
0.3605053	1.7878455
0.3626169	1.7556616
0.3591254	1.7485930
0.5034944	5.2955733
0.3597954	1.7488025
0.3607321	1.7466208
0.3562610	1.7413307
0.8150716	3.5377824
0.8353887	5.0171235
0.7495938	5.5981959
0.8055304	1.8851476
0.1720021	1.8751643
0.1720021	1.8751643
0.1729367	1.8735237
0.9293712	3.5301029
0.9256050	3.5287067
0.9268534	3.5287067
0.9310152	3.5290557
0.9292899	3.5302775
0.9312107	3.5335936
0.1731434	1.8809239
0.9363893	3.5341172
0.1751665	1.9305436
0.8705592	2.6273663
0.4185141	1.4110987
0.3953225	0.8890707
0.4405106	1.9370362
0.2589062	3.6042794
0.2903376	3.7651988
0.7549232	1.6056610
0.2552965	3.6981782
0.3877740	4.9838575
0.3940113	4.9780979
0.3884769	4.9897393
0.3876737	4.9857948
0.4771898	1.4526375
0.3908894	4.9895996
0.3890797	4.9895473
0.6718454	5.5214364
0.5230096	5.6640821
0.3861687	4.9846603
0.3829632	4.9904723
0.4793343	1.4395476
0.3886778	4.9890586
0.3829632	4.9904199
0.3811631	4.9893029
0.3853667	4.9919209
0.3867705	4.9805065
0.3846653	4.9918162
0.3887783	4.9928634
0.3856674	4.9926190
0.3876937	4.4395940
0.3777688	6.1743989
